code,description
A5063,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each"
A5071,"Ostomy pouch, urinary; with barrier attached (1 piece), each"
A5072,"Ostomy pouch, urinary; without barrier attached (1 piece), each"
A5073,"Ostomy pouch, urinary; for use on barrier with flange (2 piece), each"
A5081,"Stoma plug or seal, any type"
A5082,Continent device; catheter for continent stoma
A5083,"Continent device, stoma absorptive cover for continent stoma"
A5093,Ostomy accessory; convex insert
A5102,"Bedside drainage bottle with or without tubing, rigid or expandable, each"
A5105,"Urinary suspensory with leg bag, with or without tube, each"
A5112,"Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each"
A5113,"Leg strap; latex, replacement only, per set"
A5114,"Leg strap; foam or fabric, replacement only, per set"
A5120,"Skin barrier, wipes or swabs, each"
A5121,"Skin barrier; solid, 6 x 6 or equivalent, each"
A5122,"Skin barrier; solid, 8 x 8 or equivalent, each"
A5126,Adhesive or non-adhesive; disk or foam pad
A5131,"Appliance cleaner, incontinence and ostomy appliances, per 16 oz."
A5200,"Percutaneous catheter/tube anchoring device, adhesive skin attachment"
A5500,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe"
A5501,"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe"
A5503,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with roller or rigid rocker bottom, per shoe"
A5504,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with wedge(s), per shoe"
A5505,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with metatarsal bar, per shoe"
A5506,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with off-set heel(s), per shoe"
A5507,"For diabetics only, not otherwise specified modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe"
A5508,"For diabetics only, deluxe feature of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe"
A5510,"For diabetics only, direct formed, compression molded to patient's foot without external heat source, multiple-density insert(s) prefabricated, per shoe"
A5512,"For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of shore a 35 durometer or 3/16 inch material of shore a 40 durometer (or higher), prefabricated, each"
A5513,"For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other shaping material, custom fabricated, each"
A5514,"For diabetics only, multiple density insert, made by direct carving with cam technology from a rectified cad model created from a digitized scan of the patient, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other shaping material, custom fabricated, each"
A6000,Non-contact wound warming wound cover for use with the non-contact wound warming device and warming card
A6010,"Collagen based wound filler, dry form, sterile, per gram of collagen"
A6011,"Collagen based wound filler, gel/paste, per gram of collagen"
A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each"
A6022,"Collagen dressing, sterile, size more than 16 sq. in. but less than or equal to 48 sq. in., each"
A6023,"Collagen dressing, sterile, size more than 48 sq. in., each"
A6024,"Collagen dressing wound filler, sterile, per 6 inches"
A6025,"Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each"
A6154,"Wound pouch, each"
A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing"
A6197,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"
A6198,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 48 sq. in., each dressing"
A6199,"Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches"
A6203,"Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6204,"Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6205,"Composite dressing, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6206,"Contact layer, sterile, 16 sq. in. or less, each dressing"
A6207,"Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"
A6208,"Contact layer, sterile, more than 48 sq. in., each dressing"
A6209,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6210,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6211,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6212,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6213,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6214,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6215,"Foam dressing, wound filler, sterile, per gram"
A6216,"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6217,"Gauze, non-impregnated, non-sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6218,"Gauze, non-impregnated, non-sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6219,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6220,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6221,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6222,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6223,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 16 sq. in., but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6224,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6228,"Gauze, impregnated, water or normal saline, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6229,"Gauze, impregnated, water or normal saline, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6230,"Gauze, impregnated, water or normal saline, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6231,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size 16 sq. in. or less, each dressing"
A6232,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size greater than 16 sq. in., but less than or equal to 48 sq. in., each dressing"
A6233,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size more than 48 sq. in., each dressing"
A6234,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6235,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6236,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6237,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6238,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6239,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6240,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce"
A6241,"Hydrocolloid dressing, wound filler, dry form, sterile, per gram"
A6242,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6243,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6244,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6245,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6246,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6247,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6248,"Hydrogel dressing, wound filler, gel, per fluid ounce"
A6250,"Skin sealants, protectants, moisturizers, ointments, any type, any size"
A6251,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6252,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6253,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6254,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6255,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6256,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6257,"Transparent film, sterile, 16 sq. in. or less, each dressing"
A6258,"Transparent film, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"
A6259,"Transparent film, sterile, more than 48 sq. in., each dressing"
A6260,"Wound cleansers, any type, any size"
A6261,"Wound filler, gel/paste, per fluid ounce, not otherwise specified"
A6262,"Wound filler, dry form, per gram, not otherwise specified"
A6266,"Gauze, impregnated, other than water, normal saline, or zinc paste, sterile, any width, per linear yard"
A6402,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6403,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. less than or equal to 48 sq. in., without adhesive border, each dressing"
A6404,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6407,"Packing strips, non-impregnated, sterile, up to 2 inches in width, per linear yard"
A6410,"Eye pad, sterile, each"
A6411,"Eye pad, non-sterile, each"
A6412,"Eye patch, occlusive, each"
A6413,"Adhesive bandage, first-aid type, any size, each"
A6441,"Padding bandage, non-elastic, non-woven/non-knitted, width greater than or equal to three inches and less than five inches, per yard"
A6442,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width less than three inches, per yard"
A6443,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to three inches and less than five inches, per yard"
A6444,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to 5 inches, per yard"
A6445,"Conforming bandage, non-elastic, knitted/woven, sterile, width less than three inches, per yard"
A6446,"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to three inches and less than five inches, per yard"
A6447,"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to five inches, per yard"
A6448,"Light compression bandage, elastic, knitted/woven, width less than three inches, per yard"
A6449,"Light compression bandage, elastic, knitted/woven, width greater than or equal to three inches and less than five inches, per yard"
A6450,"Light compression bandage, elastic, knitted/woven, width greater than or equal to five inches, per yard"
A6451,"Moderate compression bandage, elastic, knitted/woven, load resistance of 1.25 to 1.34 foot pounds at 50% maximum stretch, width greater than or equal to three inches and less than five inches, per yard"
A6452,"High compression bandage, elastic, knitted/woven, load resistance greater than or equal to 1.35 foot pounds at 50% maximum stretch, width greater than or equal to three inches and less than five inches, per yard"
A6453,"Self-adherent bandage, elastic, non-knitted/non-woven, width less than three inches, per yard"
A6454,"Self-adherent bandage, elastic, non-knitted/non-woven, width greater than or equal to three inches and less than five inches, per yard"
A6455,"Self-adherent bandage, elastic, non-knitted/non-woven, width greater than or equal to five inches, per yard"
A6456,"Zinc paste impregnated bandage, non-elastic, knitted/woven, width greater than or equal to three inches and less than five inches, per yard"
A6457,"Tubular dressing with or without elastic, any width, per linear yard"
A6460,"Synthetic resorbable wound dressing, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6461,"Synthetic resorbable wound dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6501,"Compression burn garment, bodysuit (head to foot), custom fabricated"
A6502,"Compression burn garment, chin strap, custom fabricated"
A6503,"Compression burn garment, facial hood, custom fabricated"
A6504,"Compression burn garment, glove to wrist, custom fabricated"
A6505,"Compression burn garment, glove to elbow, custom fabricated"
A6506,"Compression burn garment, glove to axilla, custom fabricated"
A6507,"Compression burn garment, foot to knee length, custom fabricated"
A6508,"Compression burn garment, foot to thigh length, custom fabricated"
A6509,"Compression burn garment, upper trunk to waist including arm openings (vest), custom fabricated"
A6510,"Compression burn garment, trunk, including arms down to leg openings (leotard), custom fabricated"
A6511,"Compression burn garment, lower trunk including leg openings (panty), custom fabricated"
A6512,"Compression burn garment, not otherwise classified"
A6513,"Compression burn mask, face and/or neck, plastic or equal, custom fabricated"
A6530,"Gradient compression stocking, below knee, 18-30 mmhg, each"
A6531,"Gradient compression stocking, below knee, 30-40 mmhg, each"
A6532,"Gradient compression stocking, below knee, 40-50 mmhg, each"
A6533,"Gradient compression stocking, thigh length, 18-30 mmhg, each"
A6534,"Gradient compression stocking, thigh length, 30-40 mmhg, each"
A6535,"Gradient compression stocking, thigh length, 40-50 mmhg, each"
A6536,"Gradient compression stocking, full length/chap style, 18-30 mmhg, each"
A6537,"Gradient compression stocking, full length/chap style, 30-40 mmhg, each"
A6538,"Gradient compression stocking, full length/chap style, 40-50 mmhg, each"
A6539,"Gradient compression stocking, waist length, 18-30 mmhg, each"
A6540,"Gradient compression stocking, waist length, 30-40 mmhg, each"
A6541,"Gradient compression stocking, waist length, 40-50 mmhg, each"
A6544,"Gradient compression stocking, garter belt"
A6545,"Gradient compression wrap, non-elastic, below knee, 30-50 mm hg, each"
A6549,"Gradient compression stocking/sleeve, not otherwise specified"
A6550,"Wound care set, for negative pressure wound therapy electrical pump, includes all supplies and accessories"
A7000,"Canister, disposable, used with suction pump, each"
A7001,"Canister, non-disposable, used with suction pump, each"
A7002,"Tubing, used with suction pump, each"
A7003,"Administration set, with small volume nonfiltered pneumatic nebulizer, disposable"
A7004,"Small volume nonfiltered pneumatic nebulizer, disposable"
A7005,"Administration set, with small volume nonfiltered pneumatic nebulizer, non-disposable"
A7006,"Administration set, with small volume filtered pneumatic nebulizer"
A7007,"Large volume nebulizer, disposable, unfilled, used with aerosol compressor"
A7008,"Large volume nebulizer, disposable, prefilled, used with aerosol compressor"
A7009,"Reservoir bottle, non-disposable, used with large volume ultrasonic nebulizer"
A7010,"Corrugated tubing, disposable, used with large volume nebulizer, 100 feet"
A7011,"Corrugated tubing, non-disposable, used with large volume nebulizer, 10 feet"
A7012,"Water collection device, used with large volume nebulizer"
A7013,"Filter, disposable, used with aerosol compressor or ultrasonic generator"
A7014,"Filter, nondisposable, used with aerosol compressor or ultrasonic generator"
A7015,"Aerosol mask, used with dme nebulizer"
A7016,"Dome and mouthpiece, used with small volume ultrasonic nebulizer"
A7017,"Nebulizer, durable, glass or autoclavable plastic, bottle type, not used with oxygen"
A7018,"Water, distilled, used with large volume nebulizer, 1000 ml"
A7020,"Interface for cough stimulating device, includes all components, replacement only"
A7025,"High frequency chest wall oscillation system vest, replacement for use with patient owned equipment, each"
A7026,"High frequency chest wall oscillation system hose, replacement for use with patient owned equipment, each"
A7027,"Combination oral/nasal mask, used with continuous positive airway pressure device, each"
A7028,"Oral cushion for combination oral/nasal mask, replacement only, each"
A7029,"Nasal pillows for combination oral/nasal mask, replacement only, pair"
A7030,"Full face mask used with positive airway pressure device, each"
A7031,"Face mask interface, replacement for full face mask, each"
A7032,"Cushion for use on nasal mask interface, replacement only, each"
A7033,"Pillow for use on nasal cannula type interface, replacement only, pair"
A7034,"Nasal interface (mask or cannula type) used with positive airway pressure device, with or without head strap"
A7035,Headgear used with positive airway pressure device
A7036,Chinstrap used with positive airway pressure device
A7037,Tubing used with positive airway pressure device
A7038,"Filter, disposable, used with positive airway pressure device"
A7039,"Filter, non disposable, used with positive airway pressure device"
A7040,One way chest drain valve
A7041,Water seal drainage container and tubing for use with implanted chest tube
A7042,"Implanted pleural catheter, each"
A7043,Vacuum drainage bottle and tubing for use with implanted catheter
A7044,"Oral interface used with positive airway pressure device, each"
A7045,"Exhalation port with or without swivel used with accessories for positive airway devices, replacement only"
A7046,"Water chamber for humidifier, used with positive airway pressure device, replacement, each"
A7047,"Oral interface used with respiratory suction pump, each"
A7048,"Vacuum drainage collection unit and tubing kit, including all supplies needed for collection unit change, for use with implanted catheter, each"
A7501,"Tracheostoma valve, including diaphragm, each"
A7502,"Replacement diaphragm/faceplate for tracheostoma valve, each"
A7503,"Filter holder or filter cap, reusable, for use in a tracheostoma heat and moisture exchange system, each"
A7504,"Filter for use in a tracheostoma heat and moisture exchange system, each"
A7505,"Housing, reusable without adhesive, for use in a heat and moisture exchange system and/or with a tracheostoma valve, each"
A7506,"Adhesive disc for use in a heat and moisture exchange system and/or with tracheostoma valve, any type each"
A7507,"Filter holder and integrated filter without adhesive, for use in a tracheostoma heat and moisture exchange system, each"
A7508,"Housing and integrated adhesive, for use in a tracheostoma heat and moisture exchange system and/or with a tracheostoma valve, each"
A7509,"Filter holder and integrated filter housing, and adhesive, for use as a tracheostoma heat and moisture exchange system, each"
A7520,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each"
A7521,"Tracheostomy/laryngectomy tube, cuffed, polyvinylchloride (pvc), silicone or equal, each"
A7522,"Tracheostomy/laryngectomy tube, stainless steel or equal (sterilizable and reusable), each"
A7523,"Tracheostomy shower protector, each"
A7524,"Tracheostoma stent/stud/button, each"
A7525,"Tracheostomy mask, each"
A7526,"Tracheostomy tube collar/holder, each"
A7527,"Tracheostomy/laryngectomy tube plug/stop, each"
A8000,"Helmet, protective, soft, prefabricated, includes all components and accessories"
A8001,"Helmet, protective, hard, prefabricated, includes all components and accessories"
A8002,"Helmet, protective, soft, custom fabricated, includes all components and accessories"
A8003,"Helmet, protective, hard, custom fabricated, includes all components and accessories"
A8004,"Soft interface for helmet, replacement only"
